State  Recv-Q Send-Q              Local Address:Port  Peer Address:PortProcess
LISTEN 0      1024                127.0.0.53%lo:53         0.0.0.0:*          
LISTEN 0      1024                   127.0.0.54:53         0.0.0.0:*          
LISTEN 0      1024                      0.0.0.0:22         0.0.0.0:*          
LISTEN 0      1024               100.119.186.68:58492      0.0.0.0:*          
LISTEN 0      1024                            *:9100             *:*          
LISTEN 0      1024                            *:9090             *:*          
LISTEN 0      1024                         [::]:22            [::]:*          
LISTEN 0      1024                            *:3128             *:*          
LISTEN 0      511                             *:3001             *:*          
LISTEN 0      1024   [fd7a:115c:a1e0::b01:ba56]:33238         [::]:*          
