State  Recv-Q Send-Q              Local Address:Port  Peer Address:PortProcess
LISTEN 0      4096                      0.0.0.0:4190       0.0.0.0:*          
LISTEN 0      4096                    127.0.0.1:19991      0.0.0.0:*          
LISTEN 0      4096               100.119.186.68:58492      0.0.0.0:*          
LISTEN 0      4096                   127.0.0.54:53         0.0.0.0:*          
LISTEN 0      4096                      0.0.0.0:143        0.0.0.0:*          
LISTEN 0      4096                      0.0.0.0:80         0.0.0.0:*          
LISTEN 0      4096                      0.0.0.0:110        0.0.0.0:*          
LISTEN 0      4096                      0.0.0.0:22         0.0.0.0:*          
LISTEN 0      4096                      0.0.0.0:25         0.0.0.0:*          
LISTEN 0      4096                      0.0.0.0:465        0.0.0.0:*          
LISTEN 0      4096                    127.0.0.1:7654       0.0.0.0:*          
LISTEN 0      4096                      0.0.0.0:443        0.0.0.0:*          
LISTEN 0      4096                      0.0.0.0:587        0.0.0.0:*          
LISTEN 0      4096                      0.0.0.0:995        0.0.0.0:*          
LISTEN 0      4096                      0.0.0.0:993        0.0.0.0:*          
LISTEN 0      4096                127.0.0.53%lo:53         0.0.0.0:*          
LISTEN 0      4096                    127.0.0.1:13306      0.0.0.0:*          
LISTEN 0      4096                         [::]:4190          [::]:*          
LISTEN 0      4096                         [::]:143           [::]:*          
LISTEN 0      4096                         [::]:80            [::]:*          
LISTEN 0      4096                         [::]:110           [::]:*          
LISTEN 0      4096                         [::]:22            [::]:*          
LISTEN 0      4096                         [::]:25            [::]:*          
LISTEN 0      4096                         [::]:465           [::]:*          
LISTEN 0      4096                         [::]:443           [::]:*          
LISTEN 0      4096                         [::]:587           [::]:*          
LISTEN 0      4096                         [::]:995           [::]:*          
LISTEN 0      4096                         [::]:993           [::]:*          
LISTEN 0      256                             *:3128             *:*          
LISTEN 0      4096   [fd7a:115c:a1e0::b01:ba56]:33238         [::]:*          
